date,state,,cases,deaths
6/18/2020,Vermont,,1135,56
6/18/2020,Wyoming,,1144,18
6/19/2020,Alabama,,29002,822
6/19/2020,Massachusetts,,106650,7799
6/19/2020,Mississippi,,21022,943
6/19/2020,Rhode Island,,16337,894
6/19/2020,Vermont,,1144,56
6/19/2020,Wyoming,,1173,20
6/20/2020,Alabama,,29549,838
6/20/2020,Massachusetts,,106936,7827
6/20/2020,Mississippi,,21022,943
6/20/2020,Rhode Island,,16337,894
6/20/2020,Vermont,,1147,56
6/20/2020,Wyoming,,1179,20
6/21/2020,Alabama,,30021,839
6/21/2020,Massachusetts,,107061,7857
6/21/2020,Mississippi,,21022,943
6/21/2020,Rhode Island,,16337,894
6/21/2020,Vermont,,1159,56
6/21/2020,Wyoming,,1197,20
6/22/2020,Alabama,,30454,841
6/22/2020,Massachusetts,,107210,7873
6/22/2020,Mississippi,,22287,978
6/22/2020,Rhode Island,,16459,903
6/22/2020,Vermont,,1163,56
6/22/2020,Wyoming,,1230,20
6/23/2020,Alabama,,31097,864
6/23/2020,Massachusetts,,107439,7889
6/23/2020,Mississippi,,22898,989
6/23/2020,Rhode Island,,16533,906
6/23/2020,Vermont,,1164,56
6/23/2020,Wyoming,,1254,20
6/24/2020,Alabama,,32064,891
6/24/2020,Massachusetts,,107611,7937
6/24/2020,Mississippi,,23424,1011
6/24/2020,Rhode Island,,16606,912
6/24/2020,Vermont,,1184,56
6/24/2020,Wyoming,,1282,20
6/25/2020,Alabama,,33206,896
6/25/2020,Massachusetts,,107837,7962
6/25/2020,Mississippi,,24516,1016
6/25/2020,Rhode Island,,16640,920
6/25/2020,Vermont,,1191,56
6/25/2020,Wyoming,,1326,20
6/26/2020,Alabama,,34183,907
6/26/2020,Massachusetts,,108070,8012
6/26/2020,Mississippi,,25066,1022
6/26/2020,Rhode Island,,16661,927
6/26/2020,Vermont,,1198,56
6/26/2020,Wyoming,,1368,20
6/27/2020,Alabama,,35083,919
6/27/2020,Massachusetts,,108443,8040
6/27/2020,Mississippi,,25531,1035
6/27/2020,Rhode Island,,16661,927
6/27/2020,Vermont,,1200,56
6/27/2020,Wyoming,,1392,20
6/28/2020,Alabama,,35441,919
6/28/2020,Massachusetts,,108667,8060
6/28/2020,Mississippi,,25899,1039
6/28/2020,Rhode Island,,16661,927
6/28/2020,Vermont,,1202,56
6/28/2020,Wyoming,,1417,20
6/29/2020,Alabama,,37175,929
6/29/2020,Massachusetts,,108768,8095
6/29/2020,Mississippi,,26568,1059
6/29/2020,Rhode Island,,16764,946
6/29/2020,Vermont,,1208,56
6/29/2020,Wyoming,,1450,20
6/30/2020,Alabama,,38045,950
6/30/2020,Massachusetts,,108882,8054
6/30/2020,Mississippi,,27248,1073
6/30/2020,Rhode Island,,16813,950
6/30/2020,Vermont,,1208,56
6/30/2020,Wyoming,,1487,20
7/1/2020,Alabama,,38962,972
7/1/2020,Massachusetts,,109143,8081
7/1/2020,Mississippi,,27900,1082
7/1/2020,Rhode Island,,16853,956
7/1/2020,Vermont,,1210,56
7/1/2020,Wyoming,,1514,20
7/2/2020,Alabama,,40111,985
7/2/2020,Massachusetts,,109338,8132
7/2/2020,Mississippi,,28770,1092
7/2/2020,Rhode Island,,16941,959
7/2/2020,Vermont,,1227,56
7/2/2020,Wyoming,,1550,20
7/3/2020,Alabama,,41865,1006
7/3/2020,Massachusetts,,109628,8149
7/3/2020,Mississippi,,29684,1103
7/3/2020,Rhode Island,,16991,960
7/3/2020,Vermont,,1236,56
7/3/2020,Wyoming,,1582,20
7/4/2020,Alabama,,42862,1007
7/4/2020,Massachusetts,,109838,8172
